t,ELBO,ll,kl,lmbda
5220,1.204361915588379,1.204361915588379,109.40646362304688,0.0
5240,1.2044124603271484,1.2044124603271484,109.42179870605469,0.0
5260,1.2044597864151,1.2044597864151,109.43707275390625,0.0
5280,1.2045164108276367,1.2045164108276367,109.4521713256836,0.0
5300,1.2045607566833496,1.2045607566833496,109.4670639038086,0.0
5320,1.2046223878860474,1.2046223878860474,109.48189544677734,0.0
5340,1.204684853553772,1.204684853553772,109.49663543701172,0.0
5360,1.2047615051269531,1.2047615051269531,109.51126861572266,0.0
5380,1.2048507928848267,1.2048507928848267,109.52587890625,0.0
5400,1.2049667835235596,1.2049667835235596,109.54044342041016,0.0
5420,1.2050750255584717,1.2050750255584717,109.55500030517578,0.0
5440,1.2051810026168823,1.2051810026168823,109.56951904296875,0.0
5460,1.2052844762802124,1.2052844762802124,109.58403015136719,0.0
5480,1.2053865194320679,1.2053865194320679,109.59848022460938,0.0
5500,1.205484390258789,1.205484390258789,109.61288452148438,0.0
5520,1.2055827379226685,1.2055827379226685,109.62728118896484,0.0
5540,1.205685019493103,1.205685019493103,109.6416244506836,0.0
5560,1.205796480178833,1.205796480178833,109.65593719482422,0.0
5580,1.2059146165847778,1.2059146165847778,109.67021179199219,0.0
5600,1.2060322761535645,1.2060322761535645,109.68446350097656,0.0
5620,1.20614755153656,1.20614755153656,109.69869995117188,0.0
5640,1.206259846687317,1.206259846687317,109.7129135131836,0.0
5660,1.2063723802566528,1.2063723802566528,109.72709655761719,0.0
5680,1.2064812183380127,1.2064812183380127,109.74127960205078,0.0
5700,1.2065767049789429,1.2065767049789429,109.75543212890625,0.0
5720,1.2066600322723389,1.2066600322723389,109.76956176757812,0.0
5740,1.2067400217056274,1.2067400217056274,109.78368377685547,0.0
5760,1.206817626953125,1.206817626953125,109.79776763916016,0.0
5780,1.2069010734558105,1.2069010734558105,109.81185913085938,0.0
5800,1.2069838047027588,1.2069838047027588,109.8259048461914,0.0
5820,1.207055926322937,1.207055926322937,109.83995056152344,0.0
5840,1.2071316242218018,1.2071316242218018,109.85397338867188,0.0
5860,1.2072073221206665,1.2072073221206665,109.86800384521484,0.0
5880,1.207281470298767,1.207281470298767,109.88201141357422,0.0
5900,1.207358479499817,1.207358479499817,109.89600372314453,0.0
5920,1.2074331045150757,1.2074331045150757,109.90996551513672,0.0
5940,1.207498550415039,1.207498550415039,109.92394256591797,0.0
5960,1.2075650691986084,1.2075650691986084,109.93791198730469,0.0
5980,1.2076404094696045,1.2076404094696045,109.95186614990234,0.0
6000,1.2077175378799438,1.2077175378799438,109.96581268310547,0.0
6020,1.2077885866165161,1.2077885866165161,109.97974395751953,0.0
6040,1.2078551054000854,1.2078551054000854,109.9936752319336,0.0
6060,1.2079178094863892,1.2079178094863892,110.00759887695312,0.0
6080,1.207979679107666,1.207979679107666,110.02151489257812,0.0
6100,1.2080391645431519,1.2080391645431519,110.03543853759766,0.0
6120,1.2080938816070557,1.2080938816070557,110.04936218261719,0.0
6140,1.2081477642059326,1.2081477642059326,110.0633316040039,0.0
6160,1.208204746246338,1.208204746246338,110.07733154296875,0.0
6180,1.2082728147506714,1.2082728147506714,110.09138488769531,0.0
6200,1.208354115486145,1.208354115486145,110.10546875,0.0
6220,1.2084378004074097,1.2084378004074097,110.11958312988281,0.0
6240,1.2085193395614624,1.2085193395614624,110.13370513916016,0.0
6260,1.208599328994751,1.208599328994751,110.14787292480469,0.0
6280,1.2086775302886963,1.2086775302886963,110.16206359863281,0.0
6300,1.2087522745132446,1.2087522745132446,110.17625427246094,0.0
6320,1.2088218927383423,1.2088218927383423,110.19043731689453,0.0
6340,1.208884596824646,1.208884596824646,110.20460510253906,0.0
6360,1.2089446783065796,1.2089446783065796,110.21878814697266,0.0
6380,1.2090020179748535,1.2090020179748535,110.23296356201172,0.0
6400,1.2090578079223633,1.2090578079223633,110.24714660644531,0.0
6420,1.2091127634048462,1.2091127634048462,110.2613296508789,0.0
6440,1.2091699838638306,1.2091699838638306,110.27555084228516,0.0
6460,1.2092279195785522,1.2092279195785522,110.2898178100586,0.0
6480,1.2092832326889038,1.2092832326889038,110.30418395996094,0.0
6500,1.209336757659912,1.209336757659912,110.31880187988281,0.0
6520,1.209388256072998,1.209388256072998,110.33399963378906,0.0
6540,1.2094351053237915,1.2094351053237915,110.34928894042969,0.0
6560,1.2094812393188477,1.2094812393188477,110.36469268798828,0.0
6580,1.209529995918274,1.209529995918274,110.38019561767578,0.0
6600,1.2095965147018433,1.2095965147018433,110.39582824707031,0.0
6620,1.2096800804138184,1.2096800804138184,110.41156768798828,0.0
6640,1.2097684144973755,1.2097684144973755,110.42741394042969,0.0
6660,1.2098523378372192,1.2098523378372192,110.44336700439453,0.0
6680,1.2099297046661377,1.2099297046661377,110.45940399169922,0.0
6700,1.2100027799606323,1.2100027799606323,110.47557830810547,0.0
6720,1.2100783586502075,1.2100783586502075,110.49190521240234,0.0
6740,1.2101677656173706,1.2101677656173706,110.50836944580078,0.0
6760,1.2102699279785156,1.2102699279785156,110.52501678466797,0.0
6780,1.2103679180145264,1.2103679180145264,110.54180145263672,0.0
6800,1.2104514837265015,1.2104514837265015,110.55874633789062,0.0
6820,1.2105216979980469,1.2105216979980469,110.57586669921875,0.0
6840,1.210583209991455,1.210583209991455,110.59317779541016,0.0
6860,1.2106372117996216,1.2106372117996216,110.61071014404297,0.0
6880,1.2106897830963135,1.2106897830963135,110.62846374511719,0.0
6900,1.21074378490448,1.21074378490448,110.64647674560547,0.0
6920,1.2107993364334106,1.2107993364334106,110.66472625732422,0.0
6940,1.2108598947525024,1.2108598947525024,110.68321990966797,0.0
6960,1.2109256982803345,1.2109256982803345,110.7019271850586,0.0
6980,1.2109944820404053,1.2109944820404053,110.72086334228516,0.0
7000,1.211065411567688,1.211065411567688,110.73995971679688,0.0
7020,1.211137294769287,1.211137294769287,110.75922393798828,0.0
7040,1.2112104892730713,1.2112104892730713,110.77861785888672,0.0
7060,1.2112852334976196,1.2112852334976196,110.79808807373047,0.0
